id,topology,noise,mode,shape,n,denominator,fraction
t2511_n847402,2511.0,847402.0,TB,-++,0,46,0.0
t2511_n847402,2511.0,847402.0,TB,--+,0,46,0.0
t2511_n847402,2511.0,847402.0,TB,+-+,0,46,0.0
t2511_n847402,2511.0,847402.0,TB,-+-,0,46,0.0
t2511_n847402,2511.0,847402.0,TB,ties,0,46,0.0
t2711_n847401,2711.0,847401.0,ALL,+++,59,131,0.45038167938931295
t2711_n847401,2711.0,847401.0,ALL,---,43,131,0.3282442748091603
t2711_n847401,2711.0,847401.0,ALL,+--,4,131,0.030534351145038167
t2711_n847401,2711.0,847401.0,ALL,++-,2,131,0.015267175572519083
t2711_n847401,2711.0,847401.0,ALL,-++,21,131,0.16030534351145037
t2711_n847401,2711.0,847401.0,ALL,--+,1,131,0.007633587786259542
t2711_n847401,2711.0,847401.0,ALL,+-+,0,131,0.0
t2711_n847401,2711.0,847401.0,ALL,-+-,1,131,0.007633587786259542
t2711_n847401,2711.0,847401.0,ALL,ties,0,131,0.0
t2711_n847401,2711.0,847401.0,TA,+++,51,69,0.7391304347826086
t2711_n847401,2711.0,847401.0,TA,---,0,69,0.0
t2711_n847401,2711.0,847401.0,TA,+--,0,69,0.0
t2711_n847401,2711.0,847401.0,TA,++-,1,69,0.014492753623188406
t2711_n847401,2711.0,847401.0,TA,-++,16,69,0.2318840579710145
t2711_n847401,2711.0,847401.0,TA,--+,1,69,0.014492753623188406
t2711_n847401,2711.0,847401.0,TA,+-+,0,69,0.0
t2711_n847401,2711.0,847401.0,TA,-+-,0,69,0.0
t2711_n847401,2711.0,847401.0,TA,ties,0,69,0.0
t2711_n847401,2711.0,847401.0,TB,+++,8,62,0.12903225806451613
t2711_n847401,2711.0,847401.0,TB,---,43,62,0.6935483870967742
t2711_n847401,2711.0,847401.0,TB,+--,4,62,0.06451612903225806
t2711_n847401,2711.0,847401.0,TB,++-,1,62,0.016129032258064516
t2711_n847401,2711.0,847401.0,TB,-++,5,62,0.08064516129032258
t2711_n847401,2711.0,847401.0,TB,--+,0,62,0.0
t2711_n847401,2711.0,847401.0,TB,+-+,0,62,0.0
t2711_n847401,2711.0,847401.0,TB,-+-,1,62,0.016129032258064516
t2711_n847401,2711.0,847401.0,TB,ties,0,62,0.0
t2711_n847402,2711.0,847402.0,ALL,+++,60,146,0.410958904109589
t2711_n847402,2711.0,847402.0,ALL,---,58,146,0.3972602739726027
t2711_n847402,2711.0,847402.0,ALL,+--,2,146,0.0136986301369863
t2711_n847402,2711.0,847402.0,ALL,++-,1,146,0.00684931506849315
t2711_n847402,2711.0,847402.0,ALL,-++,21,146,0.14383561643835616
t2711_n847402,2711.0,847402.0,ALL,--+,1,146,0.00684931506849315
t2711_n847402,2711.0,847402.0,ALL,+-+,0,146,0.0
t2711_n847402,2711.0,847402.0,ALL,-+-,3,146,0.02054794520547945
t2711_n847402,2711.0,847402.0,ALL,ties,0,146,0.0
t2711_n847402,2711.0,847402.0,TA,+++,47,61,0.7704918032786885
t2711_n847402,2711.0,847402.0,TA,---,0,61,0.0
t2711_n847402,2711.0,847402.0,TA,+--,0,61,0.0
t2711_n847402,2711.0,847402.0,TA,++-,0,61,0.0
t2711_n847402,2711.0,847402.0,TA,-++,13,61,0.21311475409836064
t2711_n847402,2711.0,847402.0,TA,--+,1,61,0.01639344262295082
t2711_n847402,2711.0,847402.0,TA,+-+,0,61,0.0
t2711_n847402,2711.0,847402.0,TA,-+-,0,61,0.0
t2711_n847402,2711.0,847402.0,TA,ties,0,61,0.0
t2711_n847402,2711.0,847402.0,TB,+++,13,85,0.15294117647058825
t2711_n847402,2711.0,847402.0,TB,---,58,85,0.6823529411764706
t2711_n847402,2711.0,847402.0,TB,+--,2,85,0.023529411764705882
t2711_n847402,2711.0,847402.0,TB,++-,1,85,0.011764705882352941
t2711_n847402,2711.0,847402.0,TB,-++,8,85,0.09411764705882353
t2711_n847402,2711.0,847402.0,TB,--+,0,85,0.0
t2711_n847402,2711.0,847402.0,TB,+-+,0,85,0.0
t2711_n847402,2711.0,847402.0,TB,-+-,3,85,0.03529411764705882
t2711_n847402,2711.0,847402.0,TB,ties,0,85,0.0
t2712_n847401,2712.0,847401.0,ALL,+++,4,67,0.05970149253731343
t2712_n847401,2712.0,847401.0,ALL,---,58,67,0.8656716417910447
t2712_n847401,2712.0,847401.0,ALL,+--,0,67,0.0
t2712_n847401,2712.0,847401.0,ALL,++-,0,67,0.0
t2712_n847401,2712.0,847401.0,ALL,-++,5,67,0.07462686567164178
t2712_n847401,2712.0,847401.0,ALL,--+,0,67,0.0
t2712_n847401,2712.0,847401.0,ALL,+-+,0,67,0.0
t2712_n847401,2712.0,847401.0,ALL,-+-,0,67,0.0
t2712_n847401,2712.0,847401.0,ALL,ties,0,67,0.0
t2712_n847401,2712.0,847401.0,TA,+++,2,7,0.2857142857142857
t2712_n847401,2712.0,847401.0,TA,---,0,7,0.0
t2712_n847401,2712.0,847401.0,TA,+--,0,7,0.0
t2712_n847401,2712.0,847401.0,TA,++-,0,7,0.0
t2712_n847401,2712.0,847401.0,TA,-++,5,7,0.7142857142857143
t2712_n847401,2712.0,847401.0,TA,--+,0,7,0.0
t2712_n847401,2712.0,847401.0,TA,+-+,0,7,0.0
t2712_n847401,2712.0,847401.0,TA,-+-,0,7,0.0
t2712_n847401,2712.0,847401.0,TA,ties,0,7,0.0
t2712_n847401,2712.0,847401.0,TB,+++,2,60,0.03333333333333333
t2712_n847401,2712.0,847401.0,TB,---,58,60,0.9666666666666667
t2712_n847401,2712.0,847401.0,TB,+--,0,60,0.0
t2712_n847401,2712.0,847401.0,TB,++-,0,60,0.0
t2712_n847401,2712.0,847401.0,TB,-++,0,60,0.0
t2712_n847401,2712.0,847401.0,TB,--+,0,60,0.0
t2712_n847401,2712.0,847401.0,TB,+-+,0,60,0.0
t2712_n847401,2712.0,847401.0,TB,-+-,0,60,0.0
t2712_n847401,2712.0,847401.0,TB,ties,0,60,0.0
t2712_n847402,2712.0,847402.0,ALL,+++,0,78,0.0
t2712_n847402,2712.0,847402.0,ALL,---,74,78,0.9487179487179487
t2712_n847402,2712.0,847402.0,ALL,+--,0,78,0.0
t2712_n847402,2712.0,847402.0,ALL,++-,0,78,0.0
t2712_n847402,2712.0,847402.0,ALL,-++,4,78,0.05128205128205128
t2712_n847402,2712.0,847402.0,ALL,--+,0,78,0.0
t2712_n847402,2712.0,847402.0,ALL,+-+,0,78,0.0
t2712_n847402,2712.0,847402.0,ALL,-+-,0,78,0.0
t2712_n847402,2712.0,847402.0,ALL,ties,0,78,0.0
t2712_n847402,2712.0,847402.0,TA,+++,0,1,0.0
t2712_n847402,2712.0,847402.0,TA,---,0,1,0.0
t2712_n847402,2712.0,847402.0,TA,+--,0,1,0.0
t2712_n847402,2712.0,847402.0,TA,++-,0,1,0.0
t2712_n847402,2712.0,847402.0,TA,-++,1,1,1.0
t2712_n847402,2712.0,847402.0,TA,--+,0,1,0.0
t2712_n847402,2712.0,847402.0,TA,+-+,0,1,0.0
t2712_n847402,2712.0,847402.0,TA,-+-,0,1,0.0
t2712_n847402,2712.0,847402.0,TA,ties,0,1,0.0
t2712_n847402,2712.0,847402.0,TB,+++,0,77,0.0
t2712_n847402,2712.0,847402.0,TB,---,74,77,0.961038961038961
t2712_n847402,2712.0,847402.0,TB,+--,0,77,0.0
t2712_n847402,2712.0,847402.0,TB,++-,0,77,0.0
t2712_n847402,2712.0,847402.0,TB,-++,3,77,0.03896103896103896
t2712_n847402,2712.0,847402.0,TB,--+,0,77,0.0
t2712_n847402,2712.0,847402.0,TB,+-+,0,77,0.0
t2712_n847402,2712.0,847402.0,TB,-+-,0,77,0.0
t2712_n847402,2712.0,847402.0,TB,ties,0,77,0.0
