tau_recovery_s,q_hold,schedule,event_count,substeps,outcome,entered,entry_event_index,first_crossing_ms,minimum_q_before_last,minimum_q_after_last,minimum_q_full,final_q,pre_last_margin_pass,last_event_crosses_fold,last_event_target_reached,entry_pass
50.0,0.8425,heldout_seed_20260721,6,2,target_entry_event_6,True,6,10201.5,0.8573436052633743,0.8547291263868266,0.8547291263868266,0.8547429548158181,True,True,True,True
50.0,0.8425,heldout_seed_20260722,6,1,target_entry_event_6,True,6,14960.0,0.8579973293394121,0.8549515388707725,0.8549515388707725,0.854965285593622,True,True,True,True
50.0,0.8425,heldout_seed_20260722,6,2,target_entry_event_6,True,6,14960.0,0.8579973293393988,0.8549515388707604,0.8549515388707604,0.8549652855936105,True,True,True,True
50.0,0.8425,heldout_seed_20260723,6,1,target_entry_event_6,True,6,13015.0,0.8586139985536572,0.8548417843059768,0.8548417843059768,0.8548555713486052,True,True,True,True
50.0,0.8425,heldout_seed_20260723,6,2,target_entry_event_6,True,6,13014.5,0.8586139985536406,0.8548417843059648,0.8548417843059648,0.8548555713485932,True,True,True,True
60.0,0.8425,isolated,1,1,no_entry,False,,,0.8999999999999991,0.8856066506857825,0.8856066506857825,0.8856100087421673,True,False,False,False
60.0,0.8425,isolated,1,2,no_entry,False,,,0.8999999999999994,0.8856066506857829,0.8856066506857829,0.8856100087421678,True,False,False,False
60.0,0.8425,dense_1200ms,6,1,entry_event_6,True,6,7054.0,0.8568963008145164,0.8536947952616702,0.8536947952616702,0.8537065581231076,False,True,True,False
60.0,0.8425,dense_1200ms,6,2,entry_event_6,True,6,7054.0,0.8568963008145138,0.8536947952616655,0.8536947952616655,0.8537065581231024,False,True,True,False
60.0,0.8425,sparse_3400ms,6,1,no_entry,False,,,0.8590361863658015,0.8563709835240411,0.8563709835240411,0.8563819084844465,True,False,False,False
60.0,0.8425,sparse_3400ms,6,2,no_entry,False,,,0.8590361863657937,0.8563709835240247,0.8563709835240247,0.856381908484431,True,False,False,False
60.0,0.8425,heldout_seed_20260721,6,1,target_entry_event_6,True,6,10202.0,0.8575497072697735,0.8547736631277976,0.8547736631277976,0.8547850882011538,True,True,True,True
60.0,0.8425,heldout_seed_20260721,6,2,target_entry_event_6,True,6,10201.5,0.8575497072697661,0.8547736631277884,0.8547736631277884,0.8547850882011444,True,True,True,True
60.0,0.8425,heldout_seed_20260722,6,1,target_entry_event_6,True,6,14960.0,0.8581082466241166,0.8549722316315143,0.8549722316315143,0.8549835945340749,True,True,True,True
60.0,0.8425,heldout_seed_20260722,6,2,target_entry_event_6,True,6,14959.5,0.8581082466241077,0.8549722316314999,0.8549722316314999,0.8549835945340598,True,True,True,True
60.0,0.8425,heldout_seed_20260723,6,1,target_entry_event_6,True,6,13015.0,0.8586324606024593,0.854888122537954,0.854888122537954,0.854899511774647,True,True,True,True
60.0,0.8425,heldout_seed_20260723,6,2,target_entry_event_6,True,6,13015.0,0.8586324606024505,0.8548881225379462,0.8548881225379462,0.8548995117746393,True,True,True,True
70.0,0.8425,isolated,1,1,no_entry,False,,,0.8999999999999988,0.8858266192111406,0.8858266192111406,0.8858294536038497,True,False,False,False
70.0,0.8425,isolated,1,2,no_entry,False,,,0.8999999999999979,0.8858266192111403,0.8858266192111403,0.8858294536038491,True,False,False,False
70.0,0.8425,dense_1200ms,6,1,target_entry_event_6,True,6,7057.0,0.8571372713231344,0.8538746041431238,0.8538746041431238,0.8538845705821931,True,True,True,True
70.0,0.8425,dense_1200ms,6,2,target_entry_event_6,True,6,7057.0,0.8571372713231188,0.853874604143109,0.853874604143109,0.8538845705821786,True,True,True,True
70.0,0.8425,sparse_3400ms,6,1,no_entry,False,,,0.8589892908082996,0.8562011725089261,0.8562011725089261,0.8562105006604931,True,False,False,False
70.0,0.8425,sparse_3400ms,6,2,no_entry,False,,,0.8589892908082652,0.8562011725088814,0.8562011725088814,0.8562105006604483,True,False,False,False
70.0,0.8425,heldout_seed_20260721,6,1,target_entry_event_6,True,6,10202.0,0.8576986913185922,0.8548056470073155,0.8548056470073155,0.8548153580173882,True,True,True,True
70.0,0.8425,heldout_seed_20260721,6,2,target_entry_event_6,True,6,10202.0,0.8576986913185686,0.8548056470072873,0.8548056470072873,0.8548153580173599,True,True,True,True
70.0,0.8425,heldout_seed_20260722,6,1,target_entry_event_6,True,6,14960.0,0.8581858593478165,0.8549841026569837,0.8549841026569837,0.8549937647082495,True,True,True,True
70.0,0.8425,heldout_seed_20260722,6,2,target_entry_event_6,True,6,14959.5,0.8581858593477965,0.8549841026569576,0.8549841026569576,0.8549937647082229,True,True,True,True
70.0,0.8425,heldout_seed_20260723,6,1,target_entry_event_6,True,6,13015.0,0.8586413830299401,0.8549165052293454,0.8549165052293454,0.8549261858257753,True,True,True,True
70.0,0.8425,heldout_seed_20260723,6,2,target_entry_event_6,True,6,13015.0,0.8586413830299109,0.8549165052293178,0.8549165052293178,0.8549261858257481,True,True,True,True
80.0,0.8425,isolated,1,1,no_entry,False,,,0.8999999999999995,0.8859897532510883,0.8859897532510883,0.8859922048297498,True,False,False,False
80.0,0.8425,isolated,1,2,no_entry,False,,,0.8999999999999984,0.8859897532510876,0.8859897532510876,0.8859922048297494,True,False,False,False
80.0,0.8425,dense_1200ms,6,1,target_entry_event_6,True,6,7060.0,0.8573192276259411,0.854011007416627,0.854011007416627,0.8540196351512817,True,True,True,True
80.0,0.8425,dense_1200ms,6,2,target_entry_event_6,True,6,7059.5,0.8573192276259304,0.854011007416617,0.854011007416617,0.8540196351512717,True,True,True,True
80.0,0.8425,sparse_3400ms,6,1,no_entry,False,,,0.858951444419552,0.856068298528588,0.856068298528588,0.8560764324540997,True,False,False,False
80.0,0.8425,sparse_3400ms,6,2,no_entry,False,,,0.8589514444195471,0.8560682985285772,0.8560682985285772,0.8560764324540896,True,False,False,False
80.0,0.8425,heldout_seed_20260721,6,1,target_entry_event_6,True,6,10202.0,0.8578113265977871,0.8548297292899762,0.8548297292899762,0.8548381561965492,True,True,True,True
80.0,0.8425,heldout_seed_20260721,6,2,target_entry_event_6,True,6,10202.0,0.8578113265977761,0.8548297292899615,0.8548297292899615,0.8548381561965345,True,True,True,True
80.0,0.8425,heldout_seed_20260722,6,1,target_entry_event_6,True,6,14960.0,0.8582431477089107,0.8549913686411568,0.8549913686411568,0.8549997558984641,True,True,True,True
80.0,0.8425,heldout_seed_20260722,6,2,target_entry_event_6,True,6,14959.5,0.8582431477089093,0.8549913686411531,0.8549913686411531,0.8549997558984607,True,True,True,True
80.0,0.8425,heldout_seed_20260723,6,1,target_entry_event_6,True,6,13015.0,0.8586457663254141,0.8549351663140914,0.8549351663140914,0.8549435673575281,True,True,True,True
80.0,0.8425,heldout_seed_20260723,6,2,target_entry_event_6,True,6,13015.0,0.8586457663254018,0.8549351663140803,0.8549351663140803,0.8549435673575173,True,True,True,True
90.0,0.8425,isolated,1,1,no_entry,False,,,0.8999999999999991,0.8861155372494836,0.8861155372494836,0.8861176968868242,True,False,False,False
90.0,0.8425,isolated,1,2,no_entry,False,,,0.8999999999999976,0.8861155372494832,0.8861155372494832,0.8861176968868235,True,False,False,False
90.0,0.8425,dense_1200ms,6,1,target_entry_event_6,True,6,7061.0,0.857461487466648,0.8541179946105716,0.8541179946105716,0.8541255863200973,True,True,True,True
90.0,0.8425,dense_1200ms,6,2,target_entry_event_6,True,6,7061.0,0.8574614874666373,0.8541179946105575,0.8541179946105575,0.8541255863200832,True,True,True,True
90.0,0.8425,sparse_3400ms,6,1,no_entry,False,,,0.8589204044404295,0.8559616037069693,0.8559616037069693,0.8559688426760608,True,False,False,False
90.0,0.8425,sparse_3400ms,6,2,no_entry,False,,,0.8589204044404001,0.8559616037069261,0.8559616037069261,0.8559688426760174,True,False,False,False
90.0,0.8425,heldout_seed_20260721,6,1,target_entry_event_6,True,6,10202.0,0.8578994722046418,0.85484851119047,0.85484851119047,0.854855943400315,True,True,True,True
90.0,0.8425,heldout_seed_20260721,6,2,target_entry_event_6,True,6,10202.0,0.8578994722046325,0.8548485111904507,0.8548485111904507,0.8548559434002958,True,True,True,True
90.0,0.8425,heldout_seed_20260722,6,1,target_entry_event_6,True,6,14959.0,0.8582871520774981,0.8549960177869603,0.8549960177869603,0.8550034243886144,True,True,True,True
90.0,0.8425,heldout_seed_20260722,6,2,target_entry_event_6,True,6,14959.0,0.8582871520774742,0.8549960177869351,0.8549960177869351,0.8550034243885893,True,True,True,True
90.0,0.8425,heldout_seed_20260723,6,1,target_entry_event_6,True,6,13015.0,0.8586477994883205,0.8549480952462312,0.8549480952462312,0.8549555101675782,True,True,True,True
90.0,0.8425,heldout_seed_20260723,6,2,target_entry_event_6,True,6,13015.0,0.8586477994882994,0.8549480952462117,0.8549480952462117,0.854955510167558,True,True,True,True
100.0,0.8425,isolated,1,1,no_entry,False,,,0.8999999999999985,0.8862154711557568,0.8862154711557568,0.8862174008547132,True,False,False,False
100.0,0.8425,isolated,1,2,no_entry,False,,,0.8999999999999999,0.8862154711557594,0.8862154711557594,0.8862174008547157,True,False,False,False
100.0,0.8425,dense_1200ms,6,1,target_entry_event_6,True,6,7063.0,0.8575757457983305,0.8542041241154191,0.8542041241154191,0.8542109062409915,True,True,True,True
100.0,0.8425,dense_1200ms,6,2,target_entry_event_6,True,6,7062.5,0.8575757457983229,0.8542041241154092,0.8542041241154092,0.8542109062409815,True,True,True,True
100.0,0.8425,sparse_3400ms,6,1,no_entry,False,,,0.858894554735433,0.8558741409405726,0.8558741409405726,0.8558806610449503,True,False,False,False
100.0,0.8425,sparse_3400ms,6,2,no_entry,False,,,0.8588945547354143,0.8558741409405495,0.8558741409405495,0.8558806610449279,True,False,False,False
100.0,0.8425,heldout_seed_20260721,6,1,target_entry_event_6,True,6,10202.0,0.8579703215375838,0.8548635301422792,0.8548635301422792,0.8548702088088013,True,True,True,True
100.0,0.8425,heldout_seed_20260721,6,2,target_entry_event_6,True,6,10202.0,0.857970321537574,0.8548635301422662,0.8548635301422662,0.8548702088087877,True,True,True,True
100.0,0.8425,heldout_seed_20260722,6,1,target_entry_event_6,True,6,14959.0,0.8583219985719849,0.8549990684639034,0.8549990684639034,0.8550057258648235,True,True,True,True
100.0,0.8425,heldout_seed_20260722,6,2,target_entry_event_6,True,6,14959.0,0.8583219985719746,0.8549990684638906,0.8549990684638906,0.8550057258648107,True,True,True,True
100.0,0.8425,heldout_seed_20260723,6,1,target_entry_event_6,True,6,13015.0,0.8586485567473546,0.8549573991844813,0.8549573991844813,0.8549640631232003,True,True,True,True
100.0,0.8425,heldout_seed_20260723,6,2,target_entry_event_6,True,6,13015.0,0.858648556747336,0.854957399184465,0.854957399184465,0.8549640631231843,True,True,True,True
120.0,0.8425,isolated,1,1,no_entry,False,,,0.8999999999999994,0.886364212622915,0.886364212622915,0.8863658033719801,True,False,False,False
120.0,0.8425,isolated,1,2,no_entry,False,,,0.8999999999999979,0.8863642126229145,0.8863642126229145,0.8863658033719797,True,False,False,False
120.0,0.8425,dense_1200ms,6,1,target_entry_event_6,True,6,7065.0,0.8577478570131066,0.8543341785086975,0.8543341785086975,0.8543398005228194,True,True,True,True
120.0,0.8425,dense_1200ms,6,2,target_entry_event_6,True,6,7065.0,0.8577478570131005,0.8543341785086916,0.8543341785086916,0.8543398005228136,True,True,True,True
120.0,0.8425,sparse_3400ms,6,1,entry_event_6,True,6,18096.0,0.8588540691197661,0.8557393973260913,0.8557393973260913,0.8557448340859151,True,True,False,False
120.0,0.8425,sparse_3400ms,6,2,entry_event_6,True,6,18096.0,0.8588540691197574,0.8557393973260785,0.8557393973260785,0.8557448340859024,True,True,False,False
120.0,0.8425,heldout_seed_20260721,6,1,target_entry_event_6,True,6,10203.0,0.8580771346095744,0.8548861152656705,0.8548861152656705,0.8548916645162804,True,True,True,True
120.0,0.8425,heldout_seed_20260721,6,2,target_entry_event_6,True,6,10202.5,0.8580771346095727,0.8548861152656645,0.8548861152656645,0.8548916645162743,True,True,True,True
120.0,0.8425,heldout_seed_20260722,6,1,entry_event_6,True,6,14959.0,0.858373656502945,0.8550025714858739,0.8550025714858739,0.855008105383704,True,True,False,False
120.0,0.8425,heldout_seed_20260722,6,2,entry_event_6,True,6,14959.0,0.8583736565029335,0.8550025714858643,0.8550025714858643,0.8550081053836948,True,True,False,False
120.0,0.8425,heldout_seed_20260723,6,1,target_entry_event_6,True,6,13015.0,0.8586482370928014,0.8549696694581082,0.8549696694581082,0.8549752076935128,True,True,True,True
120.0,0.8425,heldout_seed_20260723,6,2,target_entry_event_6,True,6,13015.0,0.8586482370927901,0.8549696694580989,0.8549696694580989,0.8549752076935041,True,True,True,True
160.0,0.8425,isolated,1,1,no_entry,False,,,0.8999999999999986,0.8865481794415496,0.8865481794415496,0.8865493564243545,True,False,False,False
160.0,0.8425,isolated,1,2,no_entry,False,,,0.8999999999999995,0.8865481794415505,0.8865481794415505,0.886549356424356,True,False,False,False
160.0,0.8425,dense_1200ms,6,1,target_entry_event_6,True,6,7068.0,0.8579641690705202,0.8544982506803683,0.8544982506803683,0.8545024315140014,True,True,True,True
160.0,0.8425,dense_1200ms,6,2,target_entry_event_6,True,6,7068.0,0.8579641690705188,0.8544982506803612,0.8544982506803612,0.8545024315139937,True,True,True,True
160.0,0.8425,sparse_3400ms,6,1,entry_event_6,True,6,18092.0,0.8588005507444033,0.8555649078302705,0.8555649078302705,0.8555689814613398,True,True,False,False
160.0,0.8425,sparse_3400ms,6,2,entry_event_6,True,6,18091.5,0.8588005507443932,0.8555649078302584,0.8555649078302584,0.8555689814613268,True,True,False,False
160.0,0.8425,heldout_seed_20260721,6,1,target_entry_event_6,True,6,10203.0,0.8582115346055099,0.8549144430427877,0.8549144430427877,0.854918582047715,True,True,True,True
160.0,0.8425,heldout_seed_20260721,6,2,target_entry_event_6,True,6,10202.5,0.858211534605497,0.8549144430427734,0.8549144430427734,0.8549185820476999,True,True,True,True
160.0,0.8425,heldout_seed_20260722,6,1,entry_event_6,True,6,14959.0,0.8584371687409619,0.8550051106735932,0.8550051106735932,0.855009240566124,True,True,False,False
160.0,0.8425,heldout_seed_20260722,6,2,entry_event_6,True,6,14958.5,0.8584371687409504,0.8550051106735846,0.8550051106735846,0.8550092405661155,True,True,False,False
160.0,0.8425,heldout_seed_20260723,6,1,target_entry_event_6,True,6,13015.0,0.8586453736017244,0.8549821369672758,0.8549821369672758,0.85498626916874,True,True,True,True
160.0,0.8425,heldout_seed_20260723,6,2,target_entry_event_6,True,6,13015.0,0.8586453736017112,0.8549821369672661,0.8549821369672661,0.8549862691687302,True,True,True,True
